Date,Year,Type,Country,State,Location,Activity,Sex,Age,Fatal Y/N,Time,Source,Fatal,Activity_Categorized
Reported 11-Oct-2012,2012,Unprovoked,Nigeria,Delta,Oboro,bathing,F,38,N,,"The Osun Defender, 10/11/2012",0,swimming
10-Oct-2012,2012,Unprovoked,United States,California,"Davenport Landing, Santa Cruz County",windsurfing,M,42,N,18h30,R. Collier,0,surfing
02-Oct-2012,2012,Unprovoked,Australia,Western Australia,"Mullaloo Beach, Perth",bodyboarding,M,11,N,12h00,"The West Australian, 10/4/2012",0,boarding
25-Sep-2012,2012,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",surfing,M,21,N,16h30,"The Examiner, 9/26/2012",0,surfing
24-Sep-2012,2012,Unprovoked,United States,Florida,"Spanish House Beach, Brevard County",surfing,M,22,N,Afternoon,"TC Palm, 9/26/2012",0,surfing
16-Sep-2012,2012,Unprovoked,United States,Florida,"Cocoa Beach, Brevard  County",surfing,M,52,N,15h00,"Florida Today, 9/16/2012",0,surfing
10-Sep-2012,2012,Unprovoked,Tonga,Vava'U,Eueiki Island,swimming,F,29,N,,"Northern Star, 9/13/2012",0,swimming
09-Sep-2012,2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",surfing,,19,N,14h20,"Daytona Beach News Journal, 9/9/2012",0,surfing
08-Sep-2012,2012,Unprovoked,United States,Florida,"Lori Wilson Park, Cocoa Beach, Brevard  County",surfing,M,25,N,12h00,Shark Attack Survivors,0,surfing
08-Sep-2012,2012,Unprovoked,United States,Florida,"South Beach, Miami-Dade County",swimming,M,28,N,Afternoon,"Miami CBS Local, 9/8/2012",0,swimming
06-Sep-2012,2012,Unprovoked,United States,Florida,"Neptune Beach, Duval County",surfing,M,28,N,Just before noon,"New4Jax,  9/7/2012",0,surfing
06-Sep-2012,2012,Unprovoked,United States,Florida,"St. Augustine Beach, St. John'S County",surfing,M,37,N,11h30,"WFTV, 9/4/2012",0,surfing
04-Sep-2012,2012,Unprovoked,United States,Florida,"Melbourne Beach, Brevard County",surfing,M,32,N,07h56,"WFTV, 9/4/2012",0,surfing
02-Sep-2012,2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",boogie boarding,F,8,N,18h30,"WYTV, 9/3/2012",0,boarding
02-Sep-2012,2012,Provoked,United States,Hawaii,"Spreckelsville, Maui",spearfishing,,28,N,12h00,HawaiiNow.com,0,fishing
02-Sep-2012,2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",swimming or boogie boarding,F,56,N,16h30,"WYTV, 9/3/2012",0,swimming
31-Aug-2012,2012,Provoked,United Kingdom,Inner Hebrides,Off The Isle Of Islay,shark fishing,M,53,N,,"The Mirror, 8/31/2012",0,fishing
28-Aug-2012,2012,Unprovoked,Australia,Western Australia,Red Bluff Near Quobba Station,surfing,M,34,N,15h30,"T. Peake, GSAF",0,surfing
26-Aug-2012,2012,Unprovoked,Brazil,Pernambuco,"Coral Cove, Cabo De Santo Agostinho",swimming,M,18,Y,Afternoon,"JC Online, 8/30/2012",1,swimming
15-Aug-2012,2012,Unprovoked,United States,Alabama,"Gulf Shores, Baldwin County",wading or swimming,M,31,N,,"Fox 10, 8/17/2012",0,swimming
11-Aug-2012,2012,Watercraft,Australia,Western Australia,Ocean Reef,fishing,,28,N,12h00,"Perth Now, 8/11/2012",0,fishing
08-Aug-2012,2012,Unprovoked,United States,Florida,Key Largo,free diving,M,56,N,1600,D. Lowe,0,diving
06-Aug-2012,2012,Unprovoked,Reunion,Saint Leu,nan,surfing,M,39,N,17h17,"Linfo.re, 8/5/2012",0,surfing
04-Aug-2012,2012,Unprovoked,French Polynesia,Tuamotus,Kaukura Atoll,spearfishing,M,28,N,,"A. Brenneka, Shark Attack Survivors; Les Nouvelles calédoniennes, 9/6/2012",0,fishing
31-Jul-2012,2012,Unprovoked,United States,California,"Topanga Beach, Los Angeles County",surfing,M,17,N,06h45,R. Collier,0,surfing
31-Jul-2012,2012,Unprovoked,Australia,South Australia,Streaky Bay,surfing,M,48,N,14h40,"T. Conlin, Adelaide Now, 7/31/2012",0,surfing
30-Jul-2012,2012,Unprovoked,United States,Hawaii,"Maha‘Ulepu Beach, Kauai",surfing,M,44,N,16h35,"T. LaVenture, The GardenIsland.com",0,surfing
30-Jul-2012,2012,Unprovoked,United States,Massachusetts,"Ballston Beach, Truro, Cape Cod",body surfing,M,50,N,15h30,"A. Costellano, ABC News, 7/31/202",0,surfing
23-Jul-2012,2012,Unprovoked,Reunion,Trois-Bassins,nan,surfing,M,22,Y,16h30,"Clicanoo.re, 7/23/20122",1,surfing
14-Jul-2012,2012,Unprovoked,Australia,Western Australia,Off Wedge Island,surfing,M,24,Y,09h05,"WA News, 7/15/2012",1,surfing
08-Jul-2012,2012,Unprovoked,United States,North Carolina,"North Topsail Beach, Onslow County",swimming,F,43,N,17h30,"A. Brenneka, SharkAttackSurvivors.com; T.Fasick",0,swimming
07-July-2012,2012,Unprovoked,Bahamas,Eleuthera,nan,spearfishing,M,28,N,,S. Connelly,0,fishing
07-Jul-2012,2012,Watercraft,United States,California,"Pleasure Point, Santa Cruz County",kayaking,M,52,N,08h30,R. Collier,0,kayaking
06-Jul-2012,2012,Unprovoked,South Africa,Western Cape Province,"Sandstrand, Jongensfontein",surfing,M,29,N,16h30,"NSRI, 7/6/2012",0,surfing
26-Jun-2012,2012,Unprovoked,United States,Florida,"Juno Beach, Palm Beach County",swimming,M,6,N,19h00,"WPTV.com, 6/26/2012",0,swimming
26-Jun-2012,2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",surfing,M,26,N,15h00,"H. Frederick, Headline Surfer, 6/26/2012",0,surfing
26-Jun-2012,2012,Unprovoked,United States,Hawaii,"Kahana Beach, Maui",sitting in the water,F,16,N,09h45,"Hawaii News Now, 6/26/2012",0,Other
22-Jun-2012,2012,Unprovoked,Australia,Tasmania,South Cape Bay,surfing,M,28,N,,J. Barthy,0,surfing
22-Jun-2012,2012,Unprovoked,United States,Florida,"Bathtub Reef  Beach, Stuart, Martin County",swimming,M,12,N,16h30,WPTV.com,0,swimming
20-Jun-2012,2012,Unprovoked,Australia,Western Australia,"Mullaloo Beach, Perth",surf skiing,M,62,N,07h15,"Perth Now, 6/20/2012",0,surfing
18-Jun-2012,2012,Unprovoked,United States,North Carolina,"Ocean Isle, Brunswick County",wading,F,6,N,11h00,C. Creswell,0,Other
15-Jun-2012,2012,Provoked,United States,Florida,"Summerland Key, Monroe County",fishing,M,23,N,14h20,WSVN-TV,0,fishing
14-Jun-2012,2012,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",swimming,F,18,N,Afternoon,C. Creswell,0,swimming
14-Jun-2012,2012,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",swimming,M,28,N,Afternoon,C. Creswell,0,swimming
14-Jun-2012,2012,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",swimming,M,28,N,Afternoon,C. Creswell,0,swimming
14-Jun-2012,2012,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",swimming,M,16,N,13h20,C. Creswell,0,swimming
12-Jun-2012,2012,Unprovoked,Australia,Victoria,Port Campbell,surfing,M,42,N,Morning,"Herald Sun, 6/13/2012",0,surfing
10-Jun-2012,2012,Provoked,Italy,Sardinia,Muravera,attempting to rescue an injured & beached shark,M,57,Y,Morning,"D. Puddo, 6/11/2012",1,Other
03-Jun-2012,2012,Unprovoked,Australia,New South Wales,"Redhead Beach, Newcastle",surf skiing,M,30,N,14h30,"Newcastle Herald, 6/6/2012",0,surfing
02-Jun-2012,2012,Unprovoked,United States,Florida,"Bethune Beach, Volusia County",surfing,F,12,N,,"J. Horton, West Volusia Bulletin, 6/6/2012",0,surfing
02-Jun-2012,2012,Unprovoked,United States,South Carolina,"Myrtle Beach, Horry County",boogie boarding,M,25,N,19h45,C. Creswell,0,boarding
31-May-2012,2012,Unprovoked,United States,North Carolina,"Avon, Hatteras Island, Outer Banks, Dare County",wading,F,33,N,13h30,C. Creswell,0,Other
29-May-2012,2012,Unprovoked,Mexico,Guerrero,"Boca De La Leña, La Unión",free diving / spearfishing,M,46,N,09h00,"El Sol ee Morelia, 5/30/2012",0,fishing
23-May-2012,2012,Unprovoked,United States,Florida,"Jacksonville, Duval County",surfing,M,22,N,15h00,"First Coast News, 5/24/2012",0,surfing
20-May-2012,2012,Watercraft,United States,Hawaii,"Iroquiois Point, Oahu",kayak fishing,M,28,N,Morning,"Hawaii Now, 5/25/2012",0,fishing
16-May-2012,2012,Unprovoked,Fiji,nan,Matacucu Reef,spearfishing,M,20,N,,"Fiji Times, 5/17/2012",0,fishing
12-May-2012,2012,Watercraft,United States,California,"Leffingwell Landing, Cambria,  San Luis Obispo County",kayaking / fishing,M,30,N,14h30,R. Collier,0,fishing
09-May-2012,2012,Unprovoked,United States,Florida,"Vero Beach, Indian River County",swimming,F,47,N,11h30,News Channel 5,0,swimming
06-May-2012,2012,Unprovoked,United States,California,Off Catalina Island,paddle boarding,F,15,N,07h20,"R. Collier, A. Brenneka",0,boarding
19-Apr-2012,2012,Unprovoked,United States,Florida,"Indialantic, Brevard County",surfing,M,28,N,19h28,"MyFoxOrlando, 4/19/2012",0,surfing
19-Apr-2012,2012,Unprovoked,South Africa,Western Cape Province,Caves Near Kogel Bay,body boarding,M,20,Y,12h30,"News 24, 4/19/2012",1,boarding
11-Apr-2012,2012,Watercraft,Australia,South Australia,"Dolphin Bay, Innes National Park",kayaking,M,27,N,,"Adelaide Now, 4/12/2012",0,kayaking
03-Apr-2012,2012,Unprovoked,United States,Hawaii,"Leftovers Near Chun'S Reef, Oahu",surfing,M,28,N,12h38,"Hawaii News Now, 4/3/2012",0,surfing
Apr-2013,2012,Unprovoked,United States,Florida,"Sanibel Island, Lee County",,M,28,N,,"Morning Sentinel, 4/20/2012",0,Unknown
31-Mar-2012,2012,Unprovoked,Australia,Western Australia,Stratham Beach,scuba diving,M,33,Y,09h30,"Associated Press, 3/31/2012",1,diving
24-Mar-2012,2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",surfing,M,21,N,14h00,"H. Frederick, NSB News, 3/24/2012",0,surfing
22-Mar-2012,2012,Watercraft,Australia,Western Australia,Kalbarri,crayfishing,,28,N,05h50,"Sydney Morning Herald, 3/22/2012",0,fishing
20-Mar-2012,2012,Unprovoked,Australia,Queensland,Nobby'S Beach,surfing,M,20,N,17h00,"Courier Mail, 3/20/2012",0,surfing
15-Mar-2012,2012,Unprovoked,United States,Florida,"Jensen Beach, Martin County",surfing,M,61,N,15h50,"WPBF.com, 3/16/2012",0,surfing
14-Mar-2012,2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",surfing,F,15,N,16h00,"C. Graham, Daytona Beach News-Journal, 3/14/2012",0,surfing
14-Mar-2012,2012,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",surfing,M,17,N,16h05,"C. Graham, Daytona Beach News-Journal, 3/14/2012",0,surfing
06-Mar-2012,2012,Unprovoked,New Zealand,North Island,"Opunake, Taranake",surfing,M,28,N,19h00,"NZ Herald, 3/7/2012",0,surfing
06-Mar-2012,2012,Provoked,Australia,Victoria,"Shipwreck Cove, Melbourne Aquarium","diving, feeding sharks",F,34,N,11h30,"The Age, 3/6/2012",0,Other
05-Mar-2012,2012,Unprovoked,Reunion,Saint-Benoit,Port De La Marine,body boarding,M,31,N,14h30,"Clicanoo, 3/5/2012",0,boarding
04-Mar-2012,2012,Unprovoked,United States,Florida,"Playalinda Beach, Brevard County",kite surfing,M,19,N,13h00,Brevard Times,0,surfing
01-Mar-2012,2012,Provoked,Chile,Antofagasta Province,Antofagasta,fishing (illegally),M,28,N,,"Soychile.cl, 3/1/2012",0,fishing
26-Feb-2012,2012,Provoked,United States,Florida,"Palm Beach Inlet, Palm Beach County",kite surfing,M,28,N,14h00,"Aspen Daily News, 2/29/2012",0,surfing
25-Feb-2012,2012,Unprovoked,Australia,New South Wales,Broughton Island,fishing,M,28,N,16h00,"B. Smee, Newcastle Herald, 2/27/2012",0,fishing
20-Feb-2012,2012,Watercraft,South Africa,Western Cape Province,Strandfontein,fishing,,28,N,,"Cape Argus, 2/21/2012",0,fishing
06-Feb-2012,2012,Unprovoked,Australia,Queensland,Wurtulla,surfing,M,29,N,12h00,"Sunshine Coast Daily, 2/7/2012",0,surfing
27-Jan-2012,2012,Unprovoked,United States,Hawaii,Lanai,snorkeling,,28,N,11h05,HawaiiNow.com,0,snorkeling
19-Jan-2012,2012,Unprovoked,Australia,Western Australia,Coral Bay,snorkeling,M,26,N,Afternoon,"Sydney Morning Herald, 1/20/2012",0,snorkeling
Reported 22-Jan-2012,2012,Unprovoked,Bahamas,nan,Cat Island,"diving, photographing sharks",M,28,N,,"Evening Chronicle, 1/23/2012",0,Other
18-Jan-2012,2012,Provoked,Taiwan,Taitung,Taimali,fishing,M,24,N,,Taiwan television,0,fishing
18-Jan-2012,2012,Unprovoked,Australia,New South Wales,Redhead Beach,surfing,M,44,N,16h45,V. Peddemors,0,surfing
15-Jan-2012,2012,Unprovoked,South Africa,Eastern Cape Province,"Second Beach, Port St. Johns",swimming,M,25,Y,15h40,"News 24, 1/15/2012; R. Bonorchis, Bloomberg News, 1/16/2012",1,swimming
13-Jan-2012,2012,Unprovoked,United States,Oregon,"Lincoln City, Lincoln County",surfing,M,53,N,,R. Collier,0,surfing
03-Jan-2012,2012,Unprovoked,Australia,New South Wales,North Avoca Beach,surfing,M,28,N,20h00,"Daily Telegraph, 1/3/2012",0,surfing
02-Jan-2012,2012,Unprovoked,Australia,Queensland,Duranbah,spearfishing,M,34,N,09h00,"A. Brenneka, goldcoast.com.au, 1/3/2012",0,fishing
31-Dec-2011,2011,Unprovoked,United States,Florida,"Jupiter, Palm Beach County",,M,28,N,18h00,"Palm Beach Post,  12/31/2011",0,Unknown
25-Dec-2011,2011,Unprovoked,Ecuador,Santa Elena,Barandúa Beach,surfing,M,23,N,18h00,"A. Brenneka, SharkAttackSurvivors.com",0,surfing
23-Dec-2011,2011,Unprovoked,United States,Florida,New Smyrna Beach,surfing,M,27,N,12h30,"Daytona Beach News-Journal, 12/24/2011",0,surfing
21-Dec-2011,2011,Provoked,United States,Hawaii,"Makahuena Point, Kauai",canoeing,M,28,N,,"A. Brenneka, SharkAttackSurvivors.com",0,kayaking
21-Dec-2011,2011,Watercraft,South Africa,Eastern Cape Province,"Noordhoek, Port Elizabeth",kayak fishing,M,35,N,Dawn,"Port Elizabeth Herald, 12/22/2011",0,fishing
11-Dec-2011,2011,Unprovoked,Australia,New South Wales,Angourie,surfing,M,51,N,05h45,"Daily Examiner, 12/11/2011",0,surfing
07-Dec-2011,2011,Unprovoked,Australia,New South Wales,Maroubra,surfing,M,14,N,,"The Australian, 12/12/2011",0,surfing
06-Dec-2011,2011,Unprovoked,United States,Oregon,Seaside Cove,surfing,F,28,N,09h00,"Seaside Signal, 12/6/2011",0,surfing
02-Dec-2011,2011,Unprovoked,Australia,New South Wales,Broken Head,surfing,M,63,N,06h00,"Northern Star, 12/3/2011",0,surfing
29-Nov-2011,2011,Unprovoked,Indonesia,Bali,Tabanan,surfing,M,18,N,13h30,"Daily Telegraph, 11/30/2011",0,surfing
28-Nov-2011,2011,Unprovoked,Australia,Queensland,Peregian,swimming,M,10,N,Afternoon,"Sunshire Coast Daily, 12/1/2011 ",0,swimming
22-Nov-2011,2011,Watercraft,United States,California,Pigeon Point,kayaking,M,28,N,,R. Collier,0,kayaking
Reported 20-Nov-2011,2011,Unprovoked,Papua New Guinea,East New Britain,Pigeon Island,scuba diving,M,28,N,,"you Tube, Shark Attack at 57 metres",0,diving
12-Nov-2011,2011,Unprovoked,Brazil,Pernambuco,"Punta Del Chifre Beach, Olinda",surfing,M,35,N,,"H. Nickel & A. Brenneka, SharkAttackSurvivors.com",0,surfing
11-Nov-2011,2011,Unprovoked,Reunion,Bois-Blanc,Sainte-Rose,free diving / spearfishing,M,42,N,Morning,"H. Nickel & A. Brenneka, SharkAttackSurvivors.com",0,fishing
  29-Oct-2011,2011,Unprovoked,United States,California,"Marina State Beach, Monterey County",surfing,M,27,N,,R. Collier,0,surfing
Reported 28-Oct-2011,2011,Unprovoked,United Kingdom,Moray,Spey Bay,surfing,M,26,N,,"Daily Record, 10/28/2011",0,surfing
  29-Oct-2011,2011,Provoked,South Africa,Kwazulu-Natal,"Ushaka Aquarium, Durban",diving,,28,N,,"Durban Radio, 10/29/2011",0,Other
22-Oct-2011,2011,Unprovoked,Australia,Western Australia,Rottnest Island,diving,M,32,Y,13h25,"Sky News, 10/22/2011",1,Other
20-Oct-2011,2011,Unprovoked,United States,Oregon,"Newport, Lincoln County",surfing,M,41,N,,R. Collier,0,surfing
19-Oct-2011,2011,Unprovoked,Australia,Victoria,Elwood Beach,diving,M,50,N,16h00,"The Age, 10/20/2011",0,Other
11-Oct-2011,2011,Unprovoked,United States,Florida,Cape Canaveral,surfing,M,28,N,,T. Riley,0,surfing
10-Oct-2011,2011,Unprovoked,United States,Oregon,Seaside,surfing,M,28,N,,"R.Collier; KATU News, 10/11/2011",0,surfing
09-Oct-2011,2011,Unprovoked,Australia,Western Australia,Cottesloe Beach,swimming,M,64,Y,08h10,"Perth Now, 10/11/2011",1,swimming
05-Oct-2011,2011,Watercraft,Reunion,nan,Cap La Houssaye,canoeing,M,51,N,10h30,"Clicanoo, 10/5/2011",0,kayaking
02-Oct-2011,2011,Unprovoked,United States,Florida,"Santa Maria Island, Manatee County",wade fishing,M,28,N,Afternoon,"Herald Tribune, 10/2/2011",0,fishing
01-Oct-2011,2011,Unprovoked,United States,Alabama,"Gulf Shores, Baldwin County",,M,29,N,,WKRG,0,Unknown
28-Sep-2011,2011,Provoked,Dominican Republic,Samaná Province,Playa Jackson,fishing,M,48,N,,"Hoy Digital, 9/28/2011",0,fishing
28-Sep-2011,2011,Unprovoked,South Africa,Western Cape Province,Clovely Beach,swimming,M,43,N,12h25,"News 24, 9/29/2011",0,swimming
24-Sep-2011,2011,Unprovoked,United States,Florida,"Santa Maria Island, Manatee County",spearfishing,M,21,N,15h00,"Herald Tribune, 9/24/2011",0,fishing
24-Sep-2011,2011,Unprovoked,United States,South Carolina,"North Myrtle Beach, Horry County",jumping in the waves,M,5,N,10h00,"Sun News, 9/26/2011",0,Other
20-Sep-2011,2011,Watercraft,United States,Hawaii,Kauai,canoeing,M,28,N,15h00,"R. Mizutani, KHON2, 9/23/2011",0,kayaking
19-Sep-2011,2011,Unprovoked,Reunion,Saint-Gilles,Boucan-Canot,body boarding,M,38,Y,15h30,zinfos974,1,boarding
17-Sep-2011,2011,Unprovoked,Kenya,Coast Province,"Mama Ngina Beach, Mombasa",swimming,M,17,Y,,"Mombasa411, 9/20/2011",1,swimming
16-Sep-2011,2011,Unprovoked,United States,Florida,New Smyrna Beach,surfing,M,25,N,11h00,"Daytona Beach News-Journal, 9/16/2011",0,surfing
11-Sep-2011,2011,Unprovoked,United States,California,"Samoa Beach, Humboldt County",surfing,M,37,N,12h20,R. Collier,0,surfing
11-Sep-2011,2011,Unprovoked,Papua New Guinea,Central Province,"Hula, Near Port Moresby",kite surfing,M,30,N,Afternoon,"Sydney Morning Herald, 9/12/2011",0,surfing
04-Sep-2011,2011,Unprovoked,United States,Hawaii,"Nimitz State Beach, Oahu",surfing,,28,N,13h00,"KITV.com, 9/4/2011",0,surfing
04-Sep-2011,2011,Unprovoked,Australia,Western Australia,Bunker Bay,body boarding,M,21,Y,13h26,"Sunshine Coast Daily, 9/5/2011",1,boarding
02-Sep-2011,2011,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",surfing,M,19,N,11h00,"WESH.com, 9/2/2011",0,surfing
31-Aug-2011,2011,Unprovoked,United States,Florida,Crescent Beach St. Johns County,surfing,M,19,N,11h00,"News4JAX, 9/1/2011",0,surfing
28-Aug-2011,2011,Unprovoked,United States,Texas,"Grass Island, Aransas County",wade fishing,F,39,N,19h00,M. Locklear,0,fishing
26-Aug-2011,2011,Unprovoked,Russia,Primorsky Krai,Slavyanka,"standing, collecting sea stars",M,28,N,Morning,"Voice of Russia, 8/27/2011",0,floating/standing
24-Aug-2011 ,2011,Unprovoked,United States,North Carolina,"Buxton Beach, Dare County",surfing,M,21,N,,Shark Times,0,surfing
24-Aug-2011 ,2011,Unprovoked,United States,North Carolina,Holden Beach. Brunswick County,,M,10,N,15h30,"WECT.com, 8/24/2011",0,Unknown
23-Aug-2011,2011,Unprovoked,South Africa,Western Cape Province,"Lookout Beach, Near The Keurbooms River Mouth In Plettenberg Bay",surfing,M,49,Y,09h11,"News24, 8/23/2011",1,surfing
18-Aug-2011,2011,Unprovoked,Russia,"Peter The Great Bay, Khasan, Primorsky Krai (Far East)",Zheltukhin Island,swimming,M,16,N,,"Ria Novosti, 8/18/2011",0,swimming
17-Aug-2011,2011,Unprovoked,United States,North Carolina,"Kure Beach, New Hanover County",wading,F,28,N,17h00,C. Creswell,0,Other
17-Aug-2011,2011,Unprovoked,Russia,"Telyakovsky Bay, Khasan,  Primorsky Krai (Far East)",Vityaz,swimming,M,25,N,Evening,"AsiaOne, 8/17/2011",0,swimming
16-Aug-2011,2011,Unprovoked,French Polynesia,Society Islands,"Teahupoo, Tahiti",surfing,M,32,N,15h30,Sharksurvivors.com,0,surfing
16-Aug--2011,2011,Unprovoked,United States,Puerto Rico,Vieques,floating,M,27,N,Night,"El Nuevodia, 7/17/2011",0,floating/standing
16-Aug-2011,2011,Unprovoked,Seychelles,Praslin,Anse Lazio,swimming or snorkeling,M,30,Y,16h30,"P. Cahalan, The Independent, 8/17/2011",1,snorkeling
15-Aug-2011,2011,Invalid,United States,South Carolina,"Myrtle Beach, Horry County",playing in the surf,M,7,N,,"C. Creswell; Carolina Live, 8/15/2011",0,surfing
11-Aug--2011,2011,Unprovoked,United States,North Carolina,Beaufort Inlet,swimming,M,54,N,14h00,"Eyewitness News 9, 8/12/011",0,swimming
01-Aug-2011,2011,Unprovoked,Seychelles,Praslin,Anse Lazio,diving,M,36,Y,15h30,"Gulf News, 8/2/2011; Clicanoo, 8/4/2011",1,Other
25-Jul-2011,2011,Unprovoked,United States,New Jersey,"Egg Harbor, Atlantic County",wade fishing,M,28,N,Night,"NBC, 7/28/2011",0,fishing
22-Jul-2011,2011,Unprovoked,South Africa,Eastern Cape Province,"Cintza Beach, East London",surfing,M,29,N,10h00,"Zigzag, 7/22/2011",0,surfing
19-Jul-2011,2011,Unprovoked,United States,North Carolina,"Ocracoke Island, Hyde County",boogie boarding,F,6,N,17h30,"C. Creswell, GSAF; WITN.com",0,boarding
15-Jul-2011,2011,Watercraft,Reunion,Saint-Gilles,Brisants.,kayaking or wave skiing,M,28,N,17h00,"Le Post, 7/19/2011",0,kayaking
13-Jul-2011,2011,Unprovoked,United States,Texas,"South Padre Island, Cameron County",surf fishing,M,28,N,20h30,E.G. Paez,0,surfing
13-Jul-2011,2011,Unprovoked,Bahamas,Grand Bahama Island,Off Lucaya,scuba diving,M,54,N,12h30,"Royal Bahamas Police Force, 7/13/2011",0,diving
07-Jul-2011,2011,Unprovoked,United States,Texas,"Sunday Beach, Matagorda Island, Calhoun  County",swimming,M,12,N,17h00,"A. Acosta, Victoria Advocate, 7/9/2011",0,swimming
07-Jul-2011,2011,Unprovoked,United States,Texas,"Mustang Island, Nueces County",wade fishing,M,14,N,,"J. Martinez, Corpus Christi Caller Times, 7/19/2011",0,fishing
06-Jul-2011,2011,Unprovoked,Reunion,Saint-Gilles,Roches Noires,surfing,M,16,N,14h50,"V. Boyer, Le Journal de l’île de la Réunion, 7/7/2011",0,surfing
05-Jul-2011,2011,Unprovoked,Colombia,Sucre,"Libertad, San Onofre",kayaking,M,17,N,10h30,"El Universal, 7/6/2011",0,kayaking
30-Jun-2011,2011,Unprovoked,Turks And Caicos Islands,Middle Caicos,Mudjin Harbor,snorkeling,M,28,N,13h30,"T. Cyronak, R. Collier",0,snorkeling
29-Jun-2011,2011,Unprovoked,Brazil,Pernambuco,Praia Do Pina,surfing,M,21,N,10h00,"USA Today, 6/29/2011",0,surfing
28-Jun-2011,2011,Unprovoked,South Africa,Kwazulu-Natal,Aliwal Shoal,scuba diving,M,22,N,12h00,"Surfline.com, 6/28/2011",0,diving
26-Jun-2008,2011,Unprovoked,United States,North Carolina,"North Topsail Beach, Onslow County",playing in the surf,F,10,N,Afternoon,C. Creswell & G. Hubbell,0,surfing
24-Jun-2011,2011,Unprovoked,United States,California,"San Onofre State Beach, San Diego County",surfing,M,28,N,13h30,R. Collier,0,surfing
21-Jun-2011,2011,Unprovoked,United States,Florida,"Perdido Key, Escambia County",jet skiing,M,20,N,Afternoon,"B. Raines, Press-Register, 6/21/2011",0,Other
19-Jun-2011,2011,Unprovoked,Turks And Caicos Islands,Caicos Bank,French Cay,spearfishing,M,35,N,,"fptci.com, 6/23/2011",0,fishing
19-Jun-2011,2011,Unprovoked,Costa Rica,Guanacaste,Playa Grande,surfing,M,15,Y,12h15,"D. Martinez, Tico Times, 6/21/2011",1,surfing
15-Jun-2011,2011,Unprovoked,Reunion,Saint-Gilles-Les-Bains,Boucan-Canot,boogie boarding,M,31,Y,17h30,"Surfprevention.com, 6/16/2011",1,boarding
Reported 14-Jun-2011,2011,Watercraft,United Kingdom,Cornwall,St. Ives,fishing,,28,N,,"G. Box-Turnbull, Daily Mirror, 6/14/2011",0,fishing
12-Jun-2011,2011,Unprovoked,United States,Florida,"Off Jupiter Inlet, Palm Beach County",scuba diving,M,28,N,14h30,"WPTV, 6/13/2011",0,diving
Reported 06-Jun-2011,2011,Unprovoked,Colombia,San Andrés Archipelago,Albuquerque Cay,spearfishing,M,24,N,,"Il Isleno.com, 6/6/2011",0,fishing
06-Jun-2011,2011,Unprovoked,United States,California,"La Jolla, San Diego County",spearfishing,M,28,N,,R. Collier,0,fishing
06-Jun-2011,2011,Unprovoked,United States,Florida,"New Smyrna Beach, Volusia County",wading,M,19,N,12h00,"L. Lelis, Orlando Sentinel, 6/7/2011",0,Other
01-Jun-2011,2011,Unprovoked,Malaysia,Kedah,Palau Payar,snorkeling,F,28,N,,meglognature.blogspot.com,0,snorkeling
30-May-2011,2011,Unprovoked,United States,Texas,"Follett'S Island, Brazoria County",standing or boogie boardin,F,22,N,15h00,"KHOU.com, 5/31/2011",0,boarding
29-May-2011,2011,Unprovoked,South Africa,Western Cape Province,Robberg Beach,surfing,M,33,N,,"The George Herald, 5/30/2011",0,surfing
25-May-2011,2011,Unprovoked,United States,Hawaii,"Lyman Beach, Kailua-Kona",surfing,F,28,N,13h15,"Star Advertiser, 5/26/2011",0,surfing
22-May-2011,2011,Unprovoked,United States,Hawaii,"Lyman Beach, Kailua-Kona",paddle boarding,F,28,N,12h00,"Hawaii News Now, 5/22/2011",0,boarding
21-May-2011,2011,Unprovoked,South Africa,Kwazulu-Natal,Levan Point,spearfishing,M,28,Y,Midday,"News 24, 5/21/2011",1,fishing
13-May-2011,2011,Unprovoked,United States,Florida,"Ponte Vedra Beach, St Johns County",body surfing,M,86,N,15h30,"News 4, 5/16/2011",0,surfing
21-May-2011,2011,Unprovoked,New Caledonia,North Province,Kendec,kite boarding,M,15,Y,11h00,"Radio New Zealand & Les Nouvelles Caledoniennes, 5/23/2011",1,boarding
13-May-2011,2011,Unprovoked,United States,Florida,"Ormond Beach, Volusia County",surfing,M,37,N,06h30,"L. Lelis, Orlando Sentinel, 5/13/2011",0,surfing
10-May-2011,2011,Provoked,United States,Florida,Miami,fishing,M,28,N,,"News 7, 5/11/2011",0,fishing
04-May-2011,2011,Unprovoked,South Africa,Kwazulu-Natal,Palm Beach,spearfishing,M,37,N,,"The Witness, 5/10/2011",0,fishing
